date,predicted_regime,confidence,transition_flag,regime_label
2021-05-10,3,0.9547,0,bull
2021-05-11,3,0.9534,0,bull
2021-05-12,3,0.9628,0,bull
2021-05-13,3,0.9869,0,bull
2021-05-14,3,0.9963,0,bull
2021-05-17,3,0.999,0,bull
2021-05-18,3,1.0,0,bull
2021-05-19,3,1.0,0,bull
2021-05-20,3,1.0,0,bull
2021-05-21,3,0.9988,0,bull
2021-05-24,3,0.9996,0,bull
2021-05-25,3,0.9917,0,bull
2021-05-26,1,0.9808,1,bull
2021-05-27,1,0.9825,0,bull
2021-05-28,1,0.9806,0,bull
2021-06-01,1,0.9753,0,bull
2021-06-02,1,0.9744,0,bull
2021-06-03,1,0.9812,0,bull
2021-06-04,1,0.9881,0,bull
2021-06-07,1,0.9919,0,bull
2021-06-08,1,0.993,0,bull
2021-06-09,1,0.9965,0,bull
2021-06-10,1,0.9964,0,bull
2021-06-11,1,0.9988,0,bull
2021-06-14,1,0.9998,0,bull
2021-06-15,1,1.0,0,bull
2021-06-16,3,0.9989,1,bull
2021-06-17,3,0.9944,0,bull
2021-06-18,3,0.9929,0,bull
2021-06-21,3,0.9884,0,bull
2021-06-22,3,0.9916,0,bull
2021-06-23,3,0.9929,0,bull
2021-06-24,3,0.9875,0,bull
2021-06-25,3,0.9789,0,bull
2021-06-28,3,0.9684,0,bull
2021-06-29,3,0.9765,0,bull
2021-06-30,3,0.9875,0,bull
2021-07-01,3,1.0,0,bull
2021-07-02,3,1.0,0,bull
2021-07-06,3,1.0,0,bull
2021-07-07,3,1.0,0,bull
2021-07-08,3,1.0,0,bull
2021-07-09,3,1.0,0,bull
2021-07-12,3,1.0,0,bull
2021-07-13,3,1.0,0,bull
2021-07-14,3,1.0,0,bull
2021-07-15,3,1.0,0,bull
2021-07-16,3,1.0,0,bull
2021-07-19,3,1.0,0,bull
2021-07-20,3,1.0,0,bull
2021-07-21,3,1.0,0,bull
2021-07-22,3,1.0,0,bull
2021-07-23,3,1.0,0,bull
2021-07-26,3,1.0,0,bull
2021-07-27,3,1.0,0,bull
2021-07-28,3,1.0,0,bull
2021-07-29,3,1.0,0,bull
2021-07-30,3,1.0,0,bull
2021-08-02,3,0.9932,0,bull
