date,predicted_regime,confidence,transition_flag,regime_label
2021-05-10,2,0.5,0,bull
2021-05-11,2,0.5074,0,bull
2021-05-12,2,0.5148,0,bull
2021-05-13,2,0.5222,0,bull
2021-05-14,2,0.5296,0,bull
2021-05-17,2,0.537,0,bull
2021-05-18,2,0.5444,0,bull
2021-05-19,2,0.5519,0,bull
2021-05-20,2,0.5593,0,bull
2021-05-21,2,0.5667,0,bull
2021-05-24,2,0.5741,0,bull
2021-05-25,2,0.5815,0,bull
2021-05-26,2,0.5889,0,bull
2021-05-27,2,0.5963,0,bull
2021-05-28,2,0.6037,0,bull
2021-06-01,2,0.6111,0,bull
2021-06-02,2,0.6185,0,bull
2021-06-03,2,0.6259,0,bull
2021-06-04,2,0.6333,0,bull
2021-06-07,2,0.6407,0,bull
2021-06-08,2,0.6481,0,bull
2021-06-09,2,0.6556,0,bull
2021-06-10,2,0.663,0,bull
2021-06-11,2,0.6704,0,bull
2021-06-14,2,0.6778,0,bull
2021-06-15,2,0.6852,0,bull
2021-06-16,2,0.6926,0,bull
2021-06-17,2,0.7,0,bull
2021-06-18,2,0.7074,0,bull
2021-06-21,2,0.7148,0,bull
2021-06-22,2,0.7222,0,bull
2021-06-23,2,0.7296,0,bull
2021-06-24,2,0.737,0,bull
2021-06-25,2,0.7444,0,bull
2021-06-28,2,0.7519,0,bull
2021-06-29,2,0.7593,0,bull
2021-06-30,2,0.7667,0,bull
2021-07-01,2,0.7741,0,bull
2021-07-02,2,0.7815,0,bull
2021-07-06,2,0.7889,0,bull
2021-07-07,2,0.7963,0,bull
2021-07-08,2,0.8037,0,bull
2021-07-09,2,0.8111,0,bull
2021-07-12,2,0.8185,0,bull
2021-07-13,2,0.8259,0,bull
2021-07-14,2,0.8333,0,bull
2021-07-15,2,0.8407,0,bull
2021-07-16,2,0.8481,0,bull
2021-07-19,2,0.8556,0,bull
2021-07-20,2,0.863,0,bull
2021-07-21,2,0.8704,0,bull
2021-07-22,2,0.8778,0,bull
2021-07-23,2,0.8852,0,bull
2021-07-26,2,0.8926,0,bull
2021-07-27,2,0.9,0,bull
2021-07-28,2,0.9074,0,bull
2021-07-29,2,0.9148,0,bull
2021-07-30,2,0.9222,0,bull
2021-08-02,2,0.9296,0,bull
2021-08-03,2,0.937,0,bull
2021-08-04,2,0.9444,0,bull
2021-08-05,2,0.9519,0,bull
2021-08-06,2,0.9593,0,bull
2021-08-09,2,0.9667,0,bull
2021-08-10,2,0.9741,0,bull
2021-08-11,2,0.9815,0,bull
