date,predicted_regime,confidence,transition_flag,regime_label
2021-05-10,2,0.5000,0,sideways
2021-05-11,2,0.5000,0,sideways
2021-05-12,2,0.5000,0,sideways
2021-05-13,2,0.5000,0,sideways
2021-05-14,2,0.5000,0,sideways
2021-05-17,2,0.5000,0,sideways
2021-05-18,2,0.5000,0,sideways
2021-05-19,2,0.5000,0,sideways
2021-05-20,2,0.5000,0,sideways
2021-05-21,2,0.5000,0,sideways
2021-05-24,2,0.5000,0,sideways
2021-05-25,2,0.5000,0,sideways
2021-05-26,2,0.5000,0,sideways
2021-05-27,2,0.5000,0,sideways
2021-05-28,2,0.5000,0,sideways
2021-06-01,2,0.5000,0,sideways
2021-06-02,2,0.5000,0,sideways
2021-06-03,2,0.5000,0,sideways
2021-06-04,2,0.5000,0,sideways
2021-06-07,2,0.5000,0,sideways
2021-06-08,2,0.8026,0,sideways
2021-06-09,1,0.7557,1,bear
2021-06-10,1,0.4754,0,bear
2021-06-11,1,0.7648,0,bear
2021-06-14,1,0.6756,0,bear
2021-06-15,1,0.7544,0,bear
2021-06-16,1,0.6276,0,bear
2021-06-17,1,0.6564,0,bear
2021-06-18,1,0.6931,0,bear
2021-06-21,1,0.4668,0,bear
2021-06-22,1,0.4658,0,bear
2021-06-23,1,0.6614,0,bear
2021-06-24,1,0.6450,0,bear
2021-06-25,1,0.5446,0,bear
2021-06-28,1,0.5426,0,bear
2021-06-29,1,0.7424,0,bear
2021-06-30,1,0.8339,0,bear
2021-07-01,1,0.9025,0,bear
2021-07-02,1,0.9160,0,bear
2021-07-06,1,0.9119,0,bear
2021-07-07,1,0.9084,0,bear
2021-07-08,1,0.8892,0,bear
2021-07-09,1,0.8727,0,bear
2021-07-12,1,0.8575,0,bear
2021-07-13,1,0.8047,0,bear
2021-07-14,1,0.8196,0,bear
2021-07-15,1,0.7693,0,bear
2021-07-16,1,0.8649,0,bear
2021-07-19,1,0.5656,0,bear
2021-07-20,1,0.5769,0,bear
2021-07-21,1,0.5575,0,bear
2021-07-22,1,0.7635,0,bear
2021-07-23,1,0.6155,0,bear
2021-07-26,1,0.2923,0,bear
2021-07-27,1,0.6997,0,bear
2021-07-28,1,0.6633,0,bear
2021-07-29,1,0.6902,0,bear
2021-07-30,2,0.6868,1,sideways
2021-08-02,2,0.5903,0,sideways
2021-08-03,2,0.6498,0,sideways
2021-08-04,1,0.6134,1,bear
2021-08-05,1,0.6426,0,bear
2021-08-06,2,0.6712,1,sideways
2021-08-09,2,0.6622,0,sideways
2021-08-10,2,0.6550,0,sideways
2021-08-11,2,0.6498,0,sideways
2021-08-12,2,0.6614,0,sideways
2021-08-13,2,0.7155,0,sideways
2021-08-16,2,0.4261,0,sideways
2021-08-17,2,0.7298,0,sideways
2021-08-18,2,0.7212,0,sideways
2021-08-19,2,0.4936,0,sideways
2021-08-20,2,0.5963,0,sideways
2021-08-23,2,0.6689,0,sideways
2021-08-24,2,0.8560,0,sideways
2021-08-25,2,0.8345,0,sideways
2021-08-26,2,0.7976,0,sideways
2021-08-27,2,0.8444,0,sideways
2021-08-30,2,0.8853,0,sideways
2021-08-31,2,0.7588,0,sideways
2021-09-01,2,0.4003,0,sideways
2021-09-02,2,0.7267,0,sideways
2021-09-03,2,0.7224,0,sideways
2021-09-07,2,0.7544,0,sideways
2021-09-08,2,0.7194,0,sideways
2021-09-09,2,0.7254,0,sideways
2021-09-10,2,0.7429,0,sideways
2021-09-13,2,0.6735,0,sideways
2021-09-14,2,0.5408,0,sideways
2021-09-15,2,0.6644,0,sideways
2021-09-16,2,0.7085,0,sideways
2021-09-17,2,0.7147,0,sideways
2021-09-20,2,0.3685,0,sideways
2021-09-21,2,0.5825,0,sideways
2021-09-22,2,0.6264,0,sideways
2021-09-23,2,0.4856,0,sideways
2021-09-24,2,0.4590,0,sideways
2021-09-27,2,0.5057,0,sideways
2021-09-28,2,0.5396,0,sideways
2021-09-29,2,0.3294,0,sideways
2021-09-30,2,0.5158,0,sideways
2021-10-01,2,0.5865,0,sideways
2021-10-04,2,0.6380,0,sideways
2021-10-05,2,0.6781,0,sideways
2021-10-06,2,0.6525,0,sideways
2021-10-07,2,0.5833,0,sideways
2021-10-08,2,0.5899,0,sideways
2021-10-11,2,0.6178,0,sideways
2021-10-12,2,0.6907,0,sideways
2021-10-13,2,0.6465,0,sideways
2021-10-14,2,0.5579,0,sideways
2021-10-15,2,0.3745,0,sideways
2021-10-18,2,0.7923,0,sideways
2021-10-19,2,0.6647,0,sideways
2021-10-20,2,0.6598,0,sideways
2021-10-21,2,0.6080,0,sideways
2021-10-22,2,0.5669,0,sideways
2021-10-25,1,0.4395,1,bear
2021-10-26,1,0.4830,0,bear
2021-10-27,1,0.6556,0,bear
2021-10-28,1,0.5761,0,bear
2021-10-29,1,0.4770,0,bear
2021-11-01,1,0.5010,0,bear
2021-11-02,1,0.7095,0,bear
2021-11-03,1,0.7683,0,bear
2021-11-04,1,0.4618,0,bear
2021-11-05,2,0.5659,1,sideways
2021-11-08,2,0.6622,0,sideways
2021-11-09,2,0.6610,0,sideways
2021-11-10,2,0.3059,0,sideways
2021-11-11,2,0.4563,0,sideways
2021-11-12,2,0.7345,0,sideways
2021-11-15,2,0.6647,0,sideways
2021-11-16,2,0.7242,0,sideways
2021-11-17,2,0.7260,0,sideways
2021-11-18,2,0.7756,0,sideways
2021-11-19,2,0.8029,0,sideways
2021-11-22,2,0.7781,0,sideways
2021-11-23,2,0.8216,0,sideways
2021-11-24,2,0.6545,0,sideways
2021-11-26,2,0.5270,0,sideways
2021-11-29,1,0.2529,1,bear
2021-11-30,1,0.4455,0,bear
