date,predicted_regime,confidence,transition_flag,regime_label
2021-05-10,0,0.4767,0,bull
2021-05-11,0,0.5027,0,bull
2021-05-12,0,0.5271,0,bull
2021-05-13,0,0.6335,0,bull
2021-05-14,0,0.6925,0,bull
2021-05-17,0,0.723,0,bull
2021-05-18,0,0.7219,0,bull
2021-05-19,0,0.7476,0,bull
2021-05-20,0,0.7658,0,bull
2021-05-21,0,0.7748,0,bull
2021-05-24,0,0.8099,0,bull
2021-05-25,0,0.7093,0,bull
2021-05-26,0,0.5974,0,bull
2021-05-27,0,0.6229,0,bull
2021-05-28,0,0.6033,0,bull
2021-06-01,0,0.5769,0,bull
2021-06-02,0,0.5985,0,bull
2021-06-03,0,0.6646,0,bull
2021-06-04,0,0.7027,0,bull
2021-06-07,0,0.7587,0,bull
2021-06-08,0,0.8042,0,bull
2021-06-09,0,0.842,0,bull
2021-06-10,0,0.8321,0,bull
2021-06-11,0,0.8725,0,bull
2021-06-14,0,0.8736,0,bull
2021-06-15,0,0.8789,0,bull
2021-06-16,0,0.8815,0,bull
2021-06-17,0,0.7563,0,bull
2021-06-18,0,0.7339,0,bull
2021-06-21,0,0.6692,0,bull
2021-06-22,0,0.7262,0,bull
2021-06-23,0,0.7142,0,bull
2021-06-24,0,0.7265,0,bull
2021-06-25,0,0.6281,0,bull
2021-06-28,0,0.5348,0,bull
2021-06-29,0,0.5917,0,bull
2021-06-30,0,0.6725,0,bull
2021-07-01,0,0.6904,0,bull
2021-07-02,0,0.7898,0,bull
2021-07-06,0,0.8278,0,bull
2021-07-07,0,0.7866,0,bull
2021-07-08,0,0.7083,0,bull
2021-07-09,0,0.7418,0,bull
2021-07-12,0,0.7646,0,bull
2021-07-13,0,0.7395,0,bull
2021-07-14,0,0.6913,0,bull
2021-07-15,0,0.6668,0,bull
2021-07-16,0,0.6583,0,bull
2021-07-19,0,0.6607,0,bull
2021-07-20,0,0.7009,0,bull
2021-07-21,0,0.7181,0,bull
2021-07-22,0,0.715,0,bull
2021-07-23,0,0.7099,0,bull
2021-07-26,0,0.7986,0,bull
2021-07-27,0,0.8174,0,bull
2021-07-28,0,0.7189,0,bull
2021-07-29,0,0.7525,0,bull
2021-07-30,0,0.7389,0,bull
2021-08-02,0,0.7275,0,bull
2021-08-03,0,0.6582,0,bull
2021-08-04,0,0.6251,0,bull
2021-08-05,0,0.4846,0,bull
2021-08-06,0,0.3699,0,bull
2021-08-09,0,0.3,0,bull
2021-08-10,0,0.3,0,bull
2021-08-11,0,0.3,0,bull
2021-08-12,0,0.3,0,bull
2021-08-13,0,0.3,0,bull
2021-08-16,0,0.3,0,bull
2021-08-17,1,0.3,1,bear
